Time,Message
251842.2363415,b'Frame Received\r\n'
251842.3362579,b'Frame Received\r\n'
251842.4363878,b'Frame Received\r\n'
251842.5363749,b'Frame Received\r\n'
251842.6361636,b'Frame Received\r\n'
251842.7361188,b'Frame Received\r\n'
251842.8363321,b'Frame Received\r\n'
251842.9363736,b'Frame Received\r\n'
251843.0365432,b'Frame Received\r\n'
251843.1356837,b'Frame Received\r\n'
251843.2364974,b'Frame Received\r\n'
251843.3365253,b'Frame Received\r\n'
251843.4361705,b'Frame Received\r\n'
251843.5381648,b'Frame Received\r\n'
251843.638265,b'Frame Received\r\n'
251843.7364883,b'Frame Received\r\n'
251843.8380881,b'Frame Received\r\n'
251843.9383845,b'Frame Received\r\n'
251844.036783,b'Frame Received\r\n'
251844.1360039,b'Frame Received\r\n'
251844.2359966,b'Frame Received\r\n'
251844.3361391,b'Frame Received\r\n'
251844.4363241,b'Frame Received\r\n'
251844.5382897,b'Frame Received\r\n'
251844.6385865,b'Frame Received\r\n'
251844.7373575,b'Frame Received\r\n'
251844.8381695,b'Frame Received\r\n'
251844.9379732,b'Frame Received\r\n'
251845.0380754,b'Frame Received\r\n'
251845.1353499,b'Frame Received\r\n'
251845.2382998,b'Frame Received\r\n'
251845.3363363,b'Frame Received\r\n'
251845.438222,b'Frame Received\r\n'
251845.5382609,b'Frame Received\r\n'
251845.6382748,b'Frame Received\r\n'
251845.7359365,b'Frame Received\r\n'
251845.8363766,b'Frame Received\r\n'
251845.9382113,b'Frame Received\r\n'
251846.0383031,b'Frame Received\r\n'
251846.1357708,b'Frame Received\r\n'
251846.2381861,b'Frame Received\r\n'
251846.3381052,b'Frame Received\r\n'
251846.4381868,b'Frame Received\r\n'
251846.5377944,b'Frame Received\r\n'
251846.638066,b'Frame Received\r\n'
251846.7365771,b'Frame Received\r\n'
251846.8363983,b'Frame Received\r\n'
251846.9366977,b'Frame Received\r\n'
251847.0365934,b'Frame Received\r\n'
251847.1355283,b'Frame Received\r\n'
251847.2361053,b'Frame Received\r\n'
251847.3381463,b'Frame Received\r\n'
251847.4380704,b'Frame Received\r\n'
251847.536416,b'Frame Received\r\n'
251847.6380322,b'Frame Received\r\n'
251847.7383296,b'Frame Received\r\n'
251847.835362,b'Frame Received\r\n'
251847.9382996,b'Frame Received\r\n'
251848.0382648,b'Frame Received\r\n'
251848.1352462,b'Frame Received\r\n'
251848.2379477,b'Frame Received\r\n'
251848.3360608,b'Frame Received\r\n'
251848.4380293,b'Frame Received\r\n'
