Time,Message
251840.5369468,b'TX Frame Sent\r\n'
251840.6356392,b'TX Frame Sent\r\n'
251840.7354366,b'TX Frame Sent\r\n'
251840.836283,b'TX Frame Sent\r\n'
251840.9361441,b'TX Frame Sent\r\n'
251841.0360197,b'TX Frame Sent\r\n'
251841.13593,b'TX Frame Sent\r\n'
251841.2362523,b'TX Frame Sent\r\n'
251841.3360109,b'TX Frame Sent\r\n'
251841.4364301,b'TX Frame Sent\r\n'
251841.5360189,b'TX Frame Sent\r\n'
251841.6363511,b'TX Frame Sent\r\n'
251841.7359867,b'TX Frame Sent\r\n'
251841.8360838,b'TX Frame Sent\r\n'
251841.9360817,b'TX Frame Sent\r\n'
251842.0361736,b'TX Frame Sent\r\n'
251842.1358189,b'TX Frame Sent\r\n'
251842.2361616,b'TX Frame Sent\r\n'
251842.3361543,b'TX Frame Sent\r\n'
251842.4362222,b'TX Frame Sent\r\n'
251842.5362845,b'TX Frame Sent\r\n'
251842.6358819,b'TX Frame Sent\r\n'
251842.7360014,b'TX Frame Sent\r\n'
251842.8361115,b'TX Frame Sent\r\n'
251842.9362239,b'TX Frame Sent\r\n'
251843.0363923,b'TX Frame Sent\r\n'
251843.1357464,b'TX Frame Sent\r\n'
251843.2363593,b'TX Frame Sent\r\n'
251843.3363908,b'TX Frame Sent\r\n'
251843.4361461,b'TX Frame Sent\r\n'
251843.5381615,b'TX Frame Sent\r\n'
251843.6381075,b'TX Frame Sent\r\n'
251843.7364136,b'TX Frame Sent\r\n'
251843.8380883,b'TX Frame Sent\r\n'
251843.93822,b'TX Frame Sent\r\n'
251844.0366392,b'TX Frame Sent\r\n'
251844.1359259,b'TX Frame Sent\r\n'
251844.2359897,b'TX Frame Sent\r\n'
251844.3361026,b'TX Frame Sent\r\n'
251844.4362027,b'TX Frame Sent\r\n'
251844.5381502,b'TX Frame Sent\r\n'
251844.638032,b'TX Frame Sent\r\n'
251844.7372728,b'TX Frame Sent\r\n'
251844.8380643,b'TX Frame Sent\r\n'
251844.9379272,b'TX Frame Sent\r\n'
251845.0381224,b'TX Frame Sent\r\n'
251845.135512,b'TX Frame Sent\r\n'
251845.2382866,b'TX Frame Sent\r\n'
251845.3362285,b'TX Frame Sent\r\n'
251845.4380681,b'TX Frame Sent\r\n'
251845.5381566,b'TX Frame Sent\r\n'
251845.6381203,b'TX Frame Sent\r\n'
251845.7359158,b'TX Frame Sent\r\n'
251845.8356985,b'TX Frame Sent\r\n'
251845.937995,b'TX Frame Sent\r\n'
251846.0381427,b'TX Frame Sent\r\n'
251846.1352773,b'TX Frame Sent\r\n'
251846.2379892,b'TX Frame Sent\r\n'
251846.3379648,b'TX Frame Sent\r\n'
251846.4380334,b'TX Frame Sent\r\n'
251846.5377615,b'TX Frame Sent\r\n'
251846.6380087,b'TX Frame Sent\r\n'
251846.7364381,b'TX Frame Sent\r\n'
251846.8358337,b'TX Frame Sent\r\n'
251846.9362243,b'TX Frame Sent\r\n'
251847.0364208,b'TX Frame Sent\r\n'
251847.1350943,b'TX Frame Sent\r\n'
251847.2358153,b'TX Frame Sent\r\n'
251847.338161,b'TX Frame Sent\r\n'
251847.4379639,b'TX Frame Sent\r\n'
251847.536361,b'TX Frame Sent\r\n'
251847.6379365,b'TX Frame Sent\r\n'
251847.7381228,b'TX Frame Sent\r\n'
251847.8353784,b'TX Frame Sent\r\n'
251847.9382429,b'TX Frame Sent\r\n'
251848.0381621,b'TX Frame Sent\r\n'
251848.1352699,b'TX Frame Sent\r\n'
251848.2378411,b'TX Frame Sent\r\n'
251848.3360074,b'TX Frame Sent\r\n'
251848.4379059,b'TX Frame Sent\r\n'
251848.5383369,b'TX Frame Sent\r\n'
251848.6358761,b'TX Frame Sent\r\n'
251848.7379592,b'TX Frame Sent\r\n'
251848.8358271,b'TX Frame Sent\r\n'
251848.9358248,b'TX Frame Sent\r\n'
251849.0380698,b'TX Frame Sent\r\n'
251849.1351677,b'TX Frame Sent\r\n'
251849.2379398,b'TX Frame Sent\r\n'
251849.338012,b'TX Frame Sent\r\n'
251849.4380575,b'TX Frame Sent\r\n'
251849.5364331,b'TX Frame Sent\r\n'
251849.6378154,b'TX Frame Sent\r\n'
251849.7363056,b'TX Frame Sent\r\n'
251849.838142,b'TX Frame Sent\r\n'
251849.9361856,b'TX Frame Sent\r\n'
251850.0379634,b'TX Frame Sent\r\n'
251850.1352773,b'TX Frame Sent\r\n'
251850.2365736,b'TX Frame Sent\r\n'
251850.3375654,b'TX Frame Sent\r\n'
251850.4381321,b'TX Frame Sent\r\n'
251850.5379425,b'TX Frame Sent\r\n'
251850.6358671,b'TX Frame Sent\r\n'
251850.7380395,b'TX Frame Sent\r\n'
251850.8364153,b'TX Frame Sent\r\n'
251850.9381241,b'TX Frame Sent\r\n'
251851.0379211,b'TX Frame Sent\r\n'
251851.1354412,b'TX Frame Sent\r\n'
251851.2376114,b'TX Frame Sent\r\n'
251851.3378717,b'TX Frame Sent\r\n'
251851.4378939,b'TX Frame Sent\r\n'
251851.5356942,b'TX Frame Sent\r\n'
251851.6379989,b'TX Frame Sent\r\n'
